rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params
1,0.8383580493797842,0.00443464719317698,0.9815973870085465,0.000578331982044033,80.99772403240203,0.6634626386446475,0.1323028802871704,0.045606527322807934,"{""alpha"": 1e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
2,0.838038835366022,0.004271995584954754,0.9771118041019413,0.0005544939084343559,53.57214286327362,31.5287521376781,0.13032639026641846,0.06924072080178169,"{""alpha"": 1e-05, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
3,0.8202319185902395,0.007499795521870011,0.9953002878746325,0.0007150012653745419,28.97686901092529,0.5998797751994259,0.10914690494537353,0.007576574259036897,"{""alpha"": 1e-05, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
4,0.820112661108378,0.007306624454304381,0.9958958782726877,0.000611453899776617,28.803583836555482,0.33614713215540937,0.10826795101165772,0.0065468125521764104,"{""alpha"": 1e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
5,0.8199505392017328,0.007789484931838413,0.9958217633079368,0.0006075296886942917,23.626444721221922,9.652302341468545,0.04557821750640869,0.023389474687103937,"{""alpha"": 3e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
6,0.8198087128079532,0.00725794545154691,0.9956102854801937,0.000676722633191034,28.947601246833802,0.4891358982677377,0.11581335067749024,0.011138231090862252,"{""alpha"": 5.4772e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
7,0.8196557083654732,0.0074620566433291,0.9958338877948852,0.0006573380975907399,28.648792147636414,0.48540161297277057,0.10544431209564209,0.017382941282354025,"{""alpha"": 1.7321e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
8,0.7895810428611242,0.018397283310355752,0.999759437115261,0.0002781017704231948,11.065354371070862,0.1361515639891464,0.08422465324401855,0.007406032475467162,"{""alpha"": 3e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
9,0.7894666319598321,0.018367651816672933,0.999759437115261,0.0002781017704231948,11.018206477165222,0.23878321007468947,0.0878453016281128,0.004974046481525139,"{""alpha"": 1.7321e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
10,0.7893334908623134,0.017927085479957687,0.999759437115261,0.0002781017704231948,11.111958932876586,0.23174069747762607,0.0877331018447876,0.003909648533006717,"{""alpha"": 1e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
11,0.7891295186984187,0.01840204147416751,0.999759437115261,0.0002781017704231948,7.825399160385132,3.031618508518603,0.050766801834106444,0.03569973446421017,"{""alpha"": 1e-05, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
12,0.7890190887725689,0.017901824655129014,0.999759437115261,0.0002781017704231948,10.96843605041504,0.1911649896031202,0.08786075115203858,0.004184416490396052,"{""alpha"": 5.4772e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.03, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
13,0.7882995512687844,0.017964648294253045,0.9992550003865134,0.0004066612156018397,12.804916834831237,0.4521735071524067,0.08655869960784912,0.005794829581521663,"{""alpha"": 1e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.0173205081, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
14,0.7878936916988011,0.01748431836050981,0.9992212788599643,0.0004709179463302366,12.779914450645446,0.24270002935310378,0.0887746810913086,0.0069167219269472965,"{""alpha"": 1.7321e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.0173205081, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
15,0.7878147188996233,0.017219691000145643,0.9991846061704107,0.000451659555908785,12.501791620254517,0.19405664136274228,0.07486023902893066,0.02172540220540842,"{""alpha"": 1e-05, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.0173205081, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
16,0.7875749449085686,0.017203980235589347,0.9992550003865134,0.0004066612156018397,12.553172779083251,0.24196948445336608,0.0854306697845459,0.005232447818347492,"{""alpha"": 3e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.0173205081, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
17,0.787555884495739,0.017073428346929584,0.9992212788599643,0.0004709179463302366,12.52778856754303,0.23731216797672164,0.09139561653137207,0.005051472494761884,"{""alpha"": 5.4772e-06, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.0173205081, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
18,0.680919246668352,0.013793821618681899,0.9906106091653102,0.0019580546273229383,10.391098785400391,0.2268680605876464,0.08826210498809814,0.005571921190953401,"{""alpha"": 1e-05, ""average"": false, ""class_weight"": ""balanced"", ""eta0"": 0.01, ""learning_rate"": ""adaptive"", ""loss"": ""hinge"", ""penalty"": ""l2""}"
